tag-local-identifier,date,timestamp,location-lat,location-long
4009,2016-07-18,2016-07-18 02:00:23.000,42.5253152,21.1141774
4009,2016-07-19,2016-07-19 02:00:23.000,42.525306,21.1141683
4009,2016-07-20,2016-07-20 02:00:23.000,42.525287,21.1141853
4009,2016-07-21,2016-07-21 02:00:23.000,42.5253139,21.1141792
4009,2016-07-22,2016-07-22 02:00:23.000,42.525289,21.1141884
4009,2016-07-23,2016-07-23 02:00:23.000,42.5253249,21.1141502
4009,2016-07-24,2016-07-24 02:00:23.000,42.5229668,21.1100037
4009,2016-07-25,2016-07-25 02:00:23.000,42.5229796,21.1100105
4009,2016-07-26,2016-07-26 02:00:23.000,42.5214123,21.1094573
4009,2016-07-27,2016-07-27 02:00:23.000,42.5214645,21.1094957
4009,2016-07-28,2016-07-28 02:00:23.000,42.5214549,21.1094681
4009,2016-07-29,2016-07-29 02:00:23.000,42.5214311,21.1094658
4009,2016-07-30,2016-07-30 02:00:23.000,42.5214266,21.1094862
4009,2016-07-31,2016-07-31 02:00:23.000,42.5214285,21.1094519
4009,2016-08-01,2016-08-01 02:00:23.000,42.5214404,21.1094634
4009,2016-08-02,2016-08-02 02:00:23.000,42.521435,21.1094796
4009,2016-08-03,2016-08-03 02:00:23.000,42.5214288,21.1094626
4009,2016-08-04,2016-08-04 02:00:23.000,42.521417,21.1094647
4009,2016-08-05,2016-08-05 02:00:23.000,42.521959,21.1137964
4009,2016-08-06,2016-08-06 02:00:23.000,42.5214672,21.1094548
4009,2016-08-07,2016-08-07 02:00:23.000,42.5214228,21.1094373
4009,2016-08-08,2016-08-08 02:00:23.000,42.5214339,21.1094782
4009,2016-08-09,2016-08-09 02:00:23.000,42.5214442,21.1094707
4009,2016-08-10,2016-08-10 02:00:23.000,42.5229926,21.1099932
4009,2016-08-11,2016-08-11 02:00:23.000,42.5214249,21.109476
4009,2016-08-12,2016-08-12 02:00:23.000,42.5214248,21.1094658
4009,2016-08-13,2016-08-13 02:00:23.000,42.5214378,21.109452
4009,2016-08-14,2016-08-14 02:00:23.000,42.5229912,21.1100126
4009,2016-08-15,2016-08-15 02:00:23.000,41.4409767,22.7669577
4009,2016-08-16,2016-08-16 02:00:23.000,41.1895256,23.4441224
4009,2016-08-17,2016-08-17 02:00:23.000,40.94136,26.6395035
4009,2016-08-18,2016-08-18 02:00:23.000,40.9205097,26.6385473
4009,2016-08-19,2016-08-19 02:00:23.000,40.9413501,26.6394932
4009,2016-08-20,2016-08-20 02:00:23.000,40.9413721,26.6395314
4009,2016-08-21,2016-08-21 02:00:23.000,40.9245222,26.6387527
4009,2016-08-22,2016-08-22 02:00:23.000,40.9241395,26.6389575
4009,2016-08-23,2016-08-23 02:00:23.000,40.9246159,26.6389934
4009,2016-08-24,2016-08-24 02:00:23.000,40.924657,26.6389304
4009,2016-08-25,2016-08-25 02:00:23.000,40.9417258,26.6606768
4009,2016-08-26,2016-08-26 02:00:23.000,40.9246315,26.6390024
4009,2016-08-27,2016-08-27 02:00:23.000,40.9246679,26.6388117
4009,2016-08-28,2016-08-28 02:00:23.000,40.9351667,26.6392146
4009,2016-08-29,2016-08-29 02:00:23.000,40.9267601,26.6388298
4009,2016-08-30,2016-08-30 02:00:23.000,40.9267844,26.638823
4009,2016-08-31,2016-08-31 02:00:23.000,40.9287147,26.6389126
4009,2016-09-01,2016-09-01 02:00:23.000,40.9287094,26.6389262
4009,2016-09-02,2016-09-02 02:00:23.000,40.9287241,26.6389265
4009,2016-09-03,2016-09-03 02:00:23.000,40.9287058,26.6389279
4009,2016-09-04,2016-09-04 02:00:23.000,40.9267622,26.6388355
4009,2016-09-05,2016-09-05 02:00:23.000,40.9287229,26.6389268
